;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
1600;23687676;Ford;Focus;1.6 TDCi Trend X;2010;304.000 km;Düz;Dizel;Sedan;Gri;1560 cc;90 hp;Önden Çekiş;4,7 lt;55 lt;Belirtilmemiş;500.000
1601;23687466;Ford;Focus;1.6 TDCi Titanium X;2010;192.000 km;Düz;Dizel;Hatchback/5;Siyah;1560 cc;110 hp;Önden Çekiş;4,5 lt;55 lt;Tamamı orjinal;640.000
1602;23687677;Ford;Fiesta;1.4 TDCi Titanium;2010;185.000 km;Düz;Dizel;Hatchback/5;Yeşil;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;1 boyalı;465.000
1603;23684729;Ford;Focus;1.6 Ti-VCT Titanium;2016;53.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri (metalik);1596 cc;125 hp;Önden Çekiş;6 lt;55 lt;Belirtilmemiş;1.060.000
1605;23686827;Ford;Fiesta;1.4 TDCi Trend;2012;81.500 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;1 değişen, 3 boyalı;542.000
1606;23687442;Ford;Fiesta;1.6 Titanium;2015;104.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1596 cc;105 hp;Önden Çekiş;5,9 lt;42 lt;Tamamı orjinal;750.000
1607;22552916;Ford;Focus;1.6 TDCi Trend X;2013;81.000 km;Düz;Dizel;Hatchback/5;Siyah;1560 cc;95 hp;Önden Çekiş;4,2 lt;53 lt;Belirtilmemiş;765.000
1608;23686543;Ford;Focus;1.5 Ti-VCT Trend X;2020;53.777 km;Düz;LPG & Benzin;Hatchback/5;Mavi (metalik);1497 cc;123 hp;Önden Çekiş;5,8 lt;52 lt;Belirtilmemiş;900.000
1609;23686919;Ford;Fiesta;1.25 Trend;2013;89.000 km;Düz;Benzin;Hatchback/3;Gri (Gümüş);1242 cc;82 hp;Önden Çekiş;5,2 lt;42 lt;1 değişen;570.000
1610;23686406;Ford;Fiesta;1.5 TDCi Trend;2013;213.000 km;Düz;Dizel;Hatchback/5;Gri;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;1 değişen, 1 boyalı;580.000
1611;23686913;Ford;Fiesta;1.6 Titanium;2013;52.500 km;Yarı Otomatik;Benzin;Hatchback/5;Kırmızı;1596 cc;105 hp;Önden Çekiş;5,9 lt;42 lt;1 değişen, 3 boyalı;747.500
1612;23687141;Ford;Fiesta;1.25 Trend;2014;25.000 km;Düz;Benzin;Hatchback/5;Beyaz;1242 cc;82 hp;Önden Çekiş;5,2 lt;42 lt;Tamamı orjinal;650.000
1613;23686716;Ford;Fiesta;1.5 TDCi Titanium X;2018;68.000 km;Düz;Dizel;Hatchback/5;Lacivert;1499 cc;85 hp;Önden Çekiş;3,6 lt;42 lt;Tamamı orjinal;810.000
1614;23686847;Ford;Fiesta;1.5 TDCi Trend X;2015;258.505 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;Belirtilmemiş;585.000
